prognosis;symptoms
GERD;stomach_pain,ulcers_on_tongue,vomiting,cough,chest_pain
Fungal infection;itching,skin_rash,nodal_skin_eruptions,dischromic _patches
Fungal infection;itching,skin_rash,nodal_skin_eruptions,dischromic _patches
Fungal infection;itching,skin_rash,nodal_skin_eruptions
Allergy;continuous_sneezing,shivering,chills,watering_from_eyes
Fungal infection;itching,skin_rash,nodal_skin_eruptions,dischromic _patches
Fungal infection;itching,skin_rash,nodal_skin_eruptions,dischromic _patches
Fungal infection;itching,skin_rash,nodal_skin_eruptions
Fungal infection;itching,skin_rash,nodal_skin_eruptions
Jaundice;continuous_sneezing,shivering,chills,watering_from_eyes
Fungal infection;itching,skin_rash,nodal_skin_eruptions
GERD;stomach_pain,acidity,ulcers_on_tongue,vomiting,cough,chest_pain
Drug Reaction;itching,skin_rash,stomach_pain,burning_micturition
Allergy;itching,skin_rash,dischromic _patches
Fungal infection;skin_rash,nodal_skin_eruptions,dischromic _patches
Fungal infection;itching,nodal_skin_eruptions,dischromic _patches
AIDS;skin_rash,nodal_skin_eruptions,dischromic _patches
Allergy;continuous_sneezing,shivering,chills
GERD;stomach_pain,acidity,ulcers_on_tongue,vomiting,chest_pain
GERD;stomach_pain,acidity,ulcers_on_tongue,vomiting,chest_pain
Fungal infection;itching,skin_rash,nodal_skin_eruptions
Chronic cholestasis;itching,vomiting,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes
Fungal infection;itching,nodal_skin_eruptions,dischromic _patches
Drug Reaction;itching,skin_rash,stomach_pain,spotting_ urination
Allergy;shivering,chills,watering_from_eyes
Varicose veins;continuous_sneezing,shivering,chills,watering_from_eyes
Drug Reaction;itching,skin_rash,stomach_pain,burning_micturition
Drug Reaction;itching,skin_rash,stomach_pain,spotting_ urination
Fungal infection;itching,skin_rash,nodal_skin_eruptions
Fungal infection;itching,skin_rash,dischromic _patches
GERD;stomach_pain,acidity,vomiting,cough,chest_pain
Fungal infection;itching,skin_rash,nodal_skin_eruptions,dischromic _patches
Hypertension ;itching,skin_rash,dischromic _patches
Fungal infection;itching,nodal_skin_eruptions,dischromic _patches
Chronic cholestasis;vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes
Fungal infection;itching,skin_rash,dischromic _patches
GERD;stomach_pain,acidity,ulcers_on_tongue,vomiting,chest_pain
Fungal infection;itching,skin_rash,dischromic _patches
Fungal infection;itching,skin_rash,nodal_skin_eruptions,dischromic _patches
Allergy;continuous_sneezing,shivering,chills
Chronic cholestasis;itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes
GERD;stomach_pain,acidity,ulcers_on_tongue,cough,chest_pain
Hypothyroidism;itching,skin_rash,dischromic _patches
Drug Reaction;itching,skin_rash,stomach_pain,burning_micturition
Fungal infection;skin_rash,nodal_skin_eruptions,dischromic _patches
Fungal infection;itching,skin_rash,nodal_skin_eruptions
GERD;stomach_pain,acidity,ulcers_on_tongue,vomiting,chest_pain
Allergy;continuous_sneezing,chills,watering_from_eyes
Allergy;continuous_sneezing,shivering,chills
GERD;acidity,ulcers_on_tongue,vomiting,cough,chest_pain
Fungal infection;skin_rash,nodal_skin_eruptions,dischromic _patches
Fungal infection;itching,skin_rash,nodal_skin_eruptions
Fungal infection;itching,nodal_skin_eruptions,dischromic _patches
Fungal infection;skin_rash,nodal_skin_eruptions,dischromic _patches
Fungal infection;itching,skin_rash,dischromic _patches
Fungal infection;itching,skin_rash,nodal_skin_eruptions,dischromic _patches
Allergy;continuous_sneezing,shivering,chills
Drug Reaction;itching,stomach_pain,burning_micturition,spotting_ urination
Gastroenteritis;vomiting,sunken_eyes,diarrhoea
AIDS;muscle_wasting,high_fever,extra_marital_contacts
Allergy;shivering,chills,watering_from_eyes
Fungal infection;itching,skin_rash,dischromic _patches
Allergy;shivering,chills,watering_from_eyes
Chronic cholestasis;itching,vomiting,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes
Fungal infection;itching,skin_rash,nodal_skin_eruptions,dischromic _patches
Chronic cholestasis;itching,vomiting,yellowish_skin,nausea,abdominal_pain,yellowing_of_eyes
Drug Reaction;itching,skin_rash,stomach_pain,spotting_ urination
Chronic cholestasis;vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes
Drug Reaction;itching,skin_rash,stomach_pain,spotting_ urination
Fungal infection;itching,skin_rash,nodal_skin_eruptions
Fungal infection;skin_rash,nodal_skin_eruptions,dischromic _patches
Jaundice;continuous_sneezing,shivering,chills,watering_from_eyes
GERD;stomach_pain,acidity,ulcers_on_tongue,vomiting,cough,chest_pain
Fungal infection;itching,nodal_skin_eruptions,dischromic _patches
AIDS;muscle_wasting,high_fever,extra_marital_contacts
GERD;stomach_pain,acidity,ulcers_on_tongue,vomiting,cough,chest_pain
Drug Reaction;itching,skin_rash,stomach_pain,spotting_ urination
Allergy;continuous_sneezing,shivering,chills,watering_from_eyes
AIDS;patches_in_throat,high_fever,extra_marital_contacts
Diabetes ;fatigue,weight_loss,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria
Gastroenteritis;vomiting,dehydration,diarrhoea
Fungal infection;itching,skin_rash,nodal_skin_eruptions
Hypertension ;itching,skin_rash,dischromic _patches
Fungal infection;skin_rash,nodal_skin_eruptions,dischromic _patches
Hypertension ;headache,chest_pain,dizziness,loss_of_balance,lack_of_concentration
GERD;stomach_pain,ulcers_on_tongue,vomiting,cough,chest_pain
Fungal infection;itching,skin_rash,nodal_skin_eruptions,dischromic _patches
Allergy;shivering,chills,watering_from_eyes
Fungal infection;itching,skin_rash,nodal_skin_eruptions,dischromic _patches
Fungal infection;itching,skin_rash,nodal_skin_eruptions
Jaundice;continuous_sneezing,shivering,chills,watering_from_eyes
GERD;stomach_pain,acidity,ulcers_on_tongue,vomiting,cough,chest_pain
Chronic cholestasis;itching,vomiting,yellowish_skin,loss_of_appetite,abdominal_pain,yellowing_of_eyes
Fungal infection;itching,skin_rash,nodal_skin_eruptions,dischromic _patches
Allergy;continuous_sneezing,shivering,chills
Tuberculosis;back_pain,weakness_in_limbs,neck_pain,dizziness,loss_of_balance
Diabetes ;fatigue,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria
Fungal infection;skin_rash,nodal_skin_eruptions,dischromic _patches
Allergy;continuous_sneezing,shivering,chills
Gastroenteritis;vomiting,sunken_eyes,dehydration
Fungal infection;itching,skin_rash,nodal_skin_eruptions
Chronic cholestasis;itching,vomiting,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes
Chronic cholestasis;itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes
Gastroenteritis;vomiting,dehydration,diarrhoea
Diabetes ;fatigue,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria
Allergy;continuous_sneezing,chills,watering_from_eyes
Chronic cholestasis;itching,vomiting,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes
Diabetes ;fatigue,weight_loss,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria
Paralysis (brain hemorrhage);vomiting,headache,altered_sensorium
Chronic cholestasis;itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes
Fungal infection;itching,skin_rash,nodal_skin_eruptions,dischromic _patches
Drug Reaction;itching,stomach_pain,burning_micturition,spotting_ urination
Hypertension ;headache,dizziness,loss_of_balance,lack_of_concentration
Peptic ulcer diseae;vomiting,indigestion,abdominal_pain,passage_of_gases,internal_itching
Allergy;continuous_sneezing,shivering,chills
Gastroenteritis;vomiting,sunken_eyes,dehydration,diarrhoea
GERD;stomach_pain,acidity,vomiting,cough,chest_pain
Gastroenteritis;vomiting,sunken_eyes,diarrhoea
Fungal infection;skin_rash,nodal_skin_eruptions,dischromic _patches
Paralysis (brain hemorrhage);vomiting,headache,altered_sensorium
Paralysis (brain hemorrhage);vomiting,headache,altered_sensorium
Drug Reaction;itching,skin_rash,stomach_pain,burning_micturition
Allergy;continuous_sneezing,shivering,chills
Migraine;acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,visual_disturbances
Fungal infection;itching,nodal_skin_eruptions,dischromic _patches
Peptic ulcer diseae;vomiting,indigestion,abdominal_pain,passage_of_gases,internal_itching
GERD;stomach_pain,acidity,ulcers_on_tongue,cough,chest_pain
Hypertension ;headache,chest_pain,dizziness,loss_of_balance,lack_of_concentration
AIDS;muscle_wasting,high_fever,extra_marital_contacts
Gastroenteritis;vomiting,sunken_eyes,diarrhoea
Drug Reaction;itching,stomach_pain,burning_micturition,spotting_ urination
Gastroenteritis;vomiting,sunken_eyes,dehydration,diarrhoea
Fungal infection;itching,skin_rash,nodal_skin_eruptions
Diabetes ;fatigue,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria
Drug Reaction;itching,skin_rash,stomach_pain,spotting_ urination
AIDS;muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts
GERD;stomach_pain,acidity,ulcers_on_tongue,vomiting,cough
Chronic cholestasis;itching,vomiting,yellowish_skin,nausea,abdominal_pain,yellowing_of_eyes
AIDS;muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts
Fungal infection;itching,skin_rash,nodal_skin_eruptions
Fungal infection;itching,skin_rash,nodal_skin_eruptions,dischromic _patches
AIDS;patches_in_throat,high_fever,extra_marital_contacts
Diabetes ;fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria
GERD;stomach_pain,acidity,vomiting,cough,chest_pain
Allergy;continuous_sneezing,shivering,chills,watering_from_eyes
Hypertension ;headache,dizziness,loss_of_balance,lack_of_concentration
Allergy;shivering,chills,watering_from_eyes
Gastroenteritis;vomiting,sunken_eyes,dehydration,diarrhoea
Diabetes ;fatigue,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria
Paralysis (brain hemorrhage);vomiting,headache,altered_sensorium
Fungal infection;itching,skin_rash,dischromic _patches
Fungal infection;skin_rash,nodal_skin_eruptions,dischromic _patches
Migraine;acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,visual_disturbances
Diabetes ;fatigue,weight_loss,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria
GERD;acidity,ulcers_on_tongue,vomiting,cough,chest_pain
GERD;acidity,ulcers_on_tongue,vomiting,cough,chest_pain
Drug Reaction;itching,stomach_pain,burning_micturition,spotting_ urination
Allergy;continuous_sneezing,chills,watering_from_eyes
Cervical spondylosis;back_pain,neck_pain,dizziness,loss_of_balance
Fungal infection;itching,skin_rash,nodal_skin_eruptions
Fungal infection;skin_rash,nodal_skin_eruptions,dischromic _patches
AIDS;muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts
Gastroenteritis;vomiting,sunken_eyes,dehydration
Cervical spondylosis;back_pain,weakness_in_limbs,neck_pain,dizziness
Hypertension ;headache,chest_pain,dizziness,loss_of_balance,lack_of_concentration
Drug Reaction;itching,skin_rash,burning_micturition,spotting_ urination
AIDS;muscle_wasting,high_fever,extra_marital_contacts
Fungal infection;itching,skin_rash,nodal_skin_eruptions
Drug Reaction;itching,stomach_pain,burning_micturition,spotting_ urination
Allergy;continuous_sneezing,shivering,chills
Fungal infection;itching,skin_rash,nodal_skin_eruptions,dischromic _patches
Drug Reaction;itching,skin_rash,stomach_pain,spotting_ urination
Chronic cholestasis;itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes
Migraine;acidity,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances
Chronic cholestasis;itching,vomiting,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes
Fungal infection;itching,skin_rash,dischromic _patches
Hypertension ;headache,dizziness,loss_of_balance,lack_of_concentration
Diabetes ;fatigue,weight_loss,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria
Paralysis (brain hemorrhage);vomiting,headache,altered_sensorium
Gastroenteritis;vomiting,sunken_eyes,dehydration,diarrhoea
Tuberculosis;vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching
Drug Reaction;itching,stomach_pain,burning_micturition,spotting_ urination
Drug Reaction;itching,skin_rash,stomach_pain,spotting_ urination
Allergy;continuous_sneezing,shivering,chills
Fungal infection;itching,skin_rash,dischromic _patches
Drug Reaction;itching,skin_rash,stomach_pain,burning_micturition
Gastroenteritis;vomiting,sunken_eyes,dehydration
Chronic cholestasis;itching,vomiting,yellowish_skin,loss_of_appetite,abdominal_pain,yellowing_of_eyes
Allergy;shivering,chills,watering_from_eyes
Fungal infection;itching,skin_rash,nodal_skin_eruptions
Drug Reaction;itching,skin_rash,burning_micturition,spotting_ urination
Malaria;chills,vomiting,high_fever,sweating,nausea,diarrhoea,muscle_pain
GERD;stomach_pain,acidity,ulcers_on_tongue,cough,chest_pain
Allergy;continuous_sneezing,shivering,chills
Hypertension ;headache,chest_pain,dizziness,loss_of_balance,lack_of_concentration
Peptic ulcer diseae;vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching
Tuberculosis;vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching
GERD;stomach_pain,acidity,vomiting,cough,chest_pain
Migraine;acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,visual_disturbances
Jaundice;itching,vomiting,fatigue,high_fever,yellowish_skin,dark_urine,abdominal_pain
Fungal infection;itching,skin_rash,nodal_skin_eruptions,dischromic _patches
Hypertension ;headache,dizziness,loss_of_balance,lack_of_concentration
Varicose veins;continuous_sneezing,shivering,chills,watering_from_eyes
Chronic cholestasis;itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes
Gastroenteritis;vomiting,sunken_eyes,diarrhoea
Gastroenteritis;vomiting,sunken_eyes,dehydration
GERD;stomach_pain,acidity,ulcers_on_tongue,vomiting,cough
Fungal infection;itching,skin_rash,nodal_skin_eruptions,dischromic _patches
Diabetes ;fatigue,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria
Diabetes ;fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,excessive_hunger,increased_appetite,polyuria
Fungal infection;itching,skin_rash,dischromic _patches
Fungal infection;itching,skin_rash,nodal_skin_eruptions,dischromic _patches
Fungal infection;itching,nodal_skin_eruptions,dischromic _patches
Fungal infection;itching,skin_rash,dischromic _patches
Hepatitis B;itching,fatigue,lethargy,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections
Gastroenteritis;vomiting,dehydration,diarrhoea
Fungal infection;itching,nodal_skin_eruptions,dischromic _patches
Allergy;itching,skin_rash,dischromic _patches
Typhoid;chills,vomiting,fatigue,high_fever,headache,nausea,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain
Fungal infection;skin_rash,nodal_skin_eruptions,dischromic _patches
Varicose veins;continuous_sneezing,shivering,chills,watering_from_eyes
Fungal infection;itching,skin_rash,nodal_skin_eruptions
Gastroenteritis;vomiting,sunken_eyes,dehydration
Migraine;acidity,indigestion,headache,blurred_and_distorted_vision,stiff_neck,depression,irritability,visual_disturbances
Drug Reaction;itching,skin_rash,stomach_pain,burning_micturition
Jaundice;itching,vomiting,fatigue,weight_loss,yellowish_skin,dark_urine,abdominal_pain
Chronic cholestasis;itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes
Pneumonia;fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,excessive_hunger,increased_appetite,polyuria
Hypothyroidism;itching,skin_rash,dischromic _patches
AIDS;muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts
Malaria;chills,vomiting,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain
Gastroenteritis;vomiting,dehydration,diarrhoea
Fungal infection;itching,skin_rash,nodal_skin_eruptions
Diabetes ;fatigue,weight_loss,restlessness,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria
Fungal infection;skin_rash,nodal_skin_eruptions,dischromic _patches
Cervical spondylosis;back_pain,weakness_in_limbs,neck_pain,dizziness,loss_of_balance
Fungal infection;itching,skin_rash,nodal_skin_eruptions
Allergy;continuous_sneezing,chills,watering_from_eyes
Hepatitis B;itching,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections
Dengue;skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain
Fungal infection;skin_rash,nodal_skin_eruptions,dischromic _patches
GERD;stomach_pain,acidity,ulcers_on_tongue,vomiting,cough,chest_pain
Allergy;continuous_sneezing,shivering,chills
Chronic cholestasis;vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes
Chicken pox;itching,skin_rash,lethargy,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body
Tuberculosis;chills,vomiting,fatigue,cough,high_fever,breathlessness,sweating,loss_of_appetite,mild_fever,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum
Drug Reaction;itching,skin_rash,stomach_pain,burning_micturition
Dengue;chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body
Jaundice;itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine
Cervical spondylosis;back_pain,weakness_in_limbs,neck_pain,dizziness,loss_of_balance
Hypertension ;headache,chest_pain,loss_of_balance,lack_of_concentration
Drug Reaction;itching,skin_rash,stomach_pain,burning_micturition
Fungal infection;skin_rash,nodal_skin_eruptions,dischromic _patches
Peptic ulcer diseae;vomiting,indigestion,abdominal_pain,passage_of_gases,internal_itching
Typhoid;chills,vomiting,fatigue,high_fever,headache,nausea,constipation,diarrhoea,toxic_look_(typhos),belly_pain
Hypertension ;headache,dizziness,loss_of_balance,lack_of_concentration
Hepatitis B;itching,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections
Diabetes ;fatigue,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria
Allergy;continuous_sneezing,shivering,chills
GERD;stomach_pain,acidity,ulcers_on_tongue,vomiting,cough,chest_pain
Typhoid;chills,vomiting,fatigue,high_fever,headache,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain
Fungal infection;itching,skin_rash,nodal_skin_eruptions,dischromic _patches
AIDS;muscle_wasting,patches_in_throat,high_fever
Bronchial Asthma;fatigue,cough,high_fever,breathlessness,family_history,mucoid_sputum
GERD;stomach_pain,acidity,ulcers_on_tongue,vomiting,cough
Typhoid;joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain
Allergy;continuous_sneezing,shivering,chills
AIDS;muscle_wasting,high_fever,extra_marital_contacts
Pneumonia;vomiting,dehydration,diarrhoea
Fungal infection;itching,skin_rash,nodal_skin_eruptions,dischromic _patches
Hypertension ;headache,chest_pain,dizziness,lack_of_concentration
Allergy;shivering,chills,watering_from_eyes
Hepatitis B;itching,fatigue,lethargy,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections
Allergy;continuous_sneezing,shivering,watering_from_eyes
Allergy;continuous_sneezing,shivering,chills
Fungal infection;itching,nodal_skin_eruptions,dischromic _patches
Fungal infection;itching,skin_rash,nodal_skin_eruptions
Chronic cholestasis;itching,vomiting,yellowish_skin,nausea,abdominal_pain,yellowing_of_eyes
Gastroenteritis;vomiting,sunken_eyes,diarrhoea
Dengue;skin_rash,chills,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body
Pneumonia;fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,excessive_hunger,increased_appetite,polyuria
GERD;acidity,ulcers_on_tongue,vomiting,cough,chest_pain
Hypertension ;headache,chest_pain,loss_of_balance,lack_of_concentration
Migraine;acidity,indigestion,headache,blurred_and_distorted_vision,stiff_neck,depression,irritability,visual_disturbances
Fungal infection;itching,skin_rash,dischromic _patches
Alcoholic hepatitis;vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload
Peptic ulcer diseae;vomiting,indigestion,abdominal_pain,passage_of_gases,internal_itching
GERD;stomach_pain,ulcers_on_tongue,vomiting,cough,chest_pain
Fungal infection;skin_rash,nodal_skin_eruptions,dischromic _patches
Cervical spondylosis;back_pain,weakness_in_limbs,neck_pain,dizziness,loss_of_balance
Malaria;fatigue,cough,high_fever,breathlessness,mucoid_sputum
Migraine;acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,visual_disturbances
Allergy;continuous_sneezing,chills,watering_from_eyes
Fungal infection;itching,skin_rash,dischromic _patches
Chronic cholestasis;itching,vomiting,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes
Bronchial Asthma;fatigue,cough,high_fever,breathlessness,family_history,mucoid_sputum
Gastroenteritis;vomiting,sunken_eyes,dehydration
Hypertension ;headache,dizziness,loss_of_balance,lack_of_concentration
Fungal infection;itching,skin_rash,nodal_skin_eruptions
Typhoid;itching,vomiting,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes
Fungal infection;itching,nodal_skin_eruptions,dischromic _patches
Chronic cholestasis;itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes
Gastroenteritis;vomiting,sunken_eyes,diarrhoea
Common Cold;continuous_sneezing,chills,fatigue,high_fever,headache,swelled_lymph_nodes,malaise,phlegm,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain
Typhoid;chills,vomiting,fatigue,high_fever,headache,nausea,constipation,diarrhoea,toxic_look_(typhos),belly_pain
Fungal infection;itching,skin_rash,nodal_skin_eruptions,dischromic _patches
Chicken pox;skin_rash,fatigue,lethargy,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body
GERD;stomach_pain,acidity,ulcers_on_tongue,vomiting,cough
Drug Reaction;skin_rash,stomach_pain,burning_micturition,spotting_ urination
Hepatitis C;fatigue,yellowish_skin,loss_of_appetite,yellowing_of_eyes,family_history
Chronic cholestasis;itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes
Allergy;shivering,chills,watering_from_eyes
Acne;itching,skin_rash,stomach_pain,spotting_ urination
Diabetes ;weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria
Chronic cholestasis;itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes
AIDS;patches_in_throat,high_fever,extra_marital_contacts
Hypertension ;headache,chest_pain,dizziness,loss_of_balance,lack_of_concentration
Gastroenteritis;vomiting,dehydration,diarrhoea
Fungal infection;itching,skin_rash,nodal_skin_eruptions
Hepatitis B;itching,fatigue,lethargy,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections
Allergy;continuous_sneezing,chills,watering_from_eyes
Fungal infection;itching,skin_rash,dischromic _patches
Chicken pox;skin_rash,fatigue,lethargy,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body
Fungal infection;skin_rash,nodal_skin_eruptions,dischromic _patches
Drug Reaction;itching,skin_rash,stomach_pain,burning_micturition
Allergy;continuous_sneezing,shivering,chills
Fungal infection;itching,nodal_skin_eruptions,dischromic _patches
Migraine;acidity,indigestion,headache,blurred_and_distorted_vision,stiff_neck,depression,irritability,visual_disturbances
